model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.9567307692307694,0.0024816258457737,0.94905293493505,0.0028902989039605,0.954029304029304,0.9459342485558792,0.954275670528294,0.9283520172030428,0.9950120386188755,17.22
DecisionTree,sklearn,0.9240384615384616,0.0074824471345697,0.9134300148778468,0.0083579238647149,0.9152014652014652,0.9043588161324086,0.9172702790309396,0.8717907562210577,0.9789347716869912,1.74
LinearSVC,sklearn,0.903846153846154,0.0052879164205361,0.8822308738674615,0.006073729597409,0.8987179487179487,0.8762373178501358,0.8991872025388412,0.8418911052522631,,9.17
AdaBoost,sklearn,0.8930402930402931,0.0061075334359682,0.8628397451660492,0.009670855762815,0.8968864468864469,0.870360820262896,0.8952670332048884,0.8384867104586707,0.977136753491923,36.06
SGDClassifier,sklearn,0.8940018315018314,0.0041335783162243,0.8685600946845569,0.0048973721784477,0.8829670329670329,0.8579857232293113,0.8840330771600644,0.8179587442336953,0.9671836119393604,0.16
RidgeClassifier,sklearn,0.880952380952381,0.0036270557504017,0.8559346119370236,0.0042082930800456,0.8732600732600733,0.8476836131809696,0.8753061063439205,0.8033365068251115,,0.04
LDA,sklearn,0.8839743589743589,0.0025462569072159,0.8479207064932508,0.0031304950056189,0.8805860805860806,0.8454625440492118,0.8773656419218557,0.8127155558864096,0.9607094563856546,0.09
QDA,sklearn,0.8572344322344321,0.0049489750097948,0.8379053736317699,0.0049828606700947,0.8470695970695971,0.8272978965298098,0.8526021495524964,0.7695050029319098,0.9557584560517168,0.12
KNN,sklearn,0.8474816849816851,0.0022160888352252,0.7862960021503926,0.004765109407802,0.8366300366300367,0.7720838671947577,0.819869466846963,0.7457026861935208,0.9492464270729798,0.02
CosineSimilarity,sklearn,0.7569139194139194,0.0059796150713403,0.6744926987348651,0.007625434838481,0.7498168498168498,0.6673173530883435,0.7291198491143867,0.604016485118917,,0.04
NearestCentroid,sklearn,0.7080586080586081,0.0043359379509361,0.6567686947855815,0.0039959111680532,0.6919413919413919,0.6416253010228964,0.7005027482199605,0.5258909646935825,0.8491748714172364,0.06
